Yang,RA,DEC,z,logM200,R200,N200
2,240.5602,16.1113,0.036,15.29,2.01,525
4,247.1149,40.8317,0.03,14.66,1.24,217
5,247.1633,39.4674,0.03,14.81,1.4,277
6,167.6936,28.5374,0.033,14.6,1.18,167
7,351.1194,14.6251,0.042,14.51,1.1,106
8,239.5372,27.3133,0.09,15.1,1.71,183
9,241.5673,18.1483,0.038,14.48,1.08,143
10,223.2712,16.724,0.045,14.22,0.89,106
11,10.4693,-9.3997,0.056,14.96,1.55,156
12,14.206,-0.746,0.044,14.54,1.13,95
14,228.1091,7.4642,0.045,14.49,1.09,96
15,215.5357,48.4549,0.072,14.78,1.35,90
16,230.7995,8.6412,0.034,14.65,1.23,115
17,216.7229,16.7528,0.053,14.55,1.14,107
18,168.0412,40.5435,0.075,14.39,0.99,41
20,241.1981,17.5749,0.034,14.92,1.51,257
21,230.6338,27.7129,0.073,15.27,1.96,144
22,18.7854,0.3047,0.045,14.38,1.0,82
23,227.7485,6.0388,0.079,15.21,1.87,132
24,229.2044,7.0289,0.035,14.45,1.05,87
25,230.2953,30.6325,0.078,14.7,1.26,88
26,258.2267,64.0514,0.081,15.14,1.77,150
27,169.1316,29.2563,0.047,14.29,0.93,76
28,190.3042,18.5539,0.072,14.73,1.3,87
29,159.7771,5.1123,0.069,14.59,1.16,74
30,329.3637,-7.7877,0.058,14.45,1.05,86
31,234.9381,21.7405,0.041,14.58,1.17,109
32,358.5345,-10.3766,0.076,14.81,1.38,78
34,207.2288,26.6148,0.063,14.82,1.4,95
35,164.634,1.6037,0.04,14.05,0.78,50
36,202.7342,-1.8838,0.086,14.82,1.38,77
37,241.5638,15.6789,0.04,15.17,1.83,221
38,173.6865,49.0815,0.033,14.34,0.97,98
39,229.8875,20.8222,0.04,14.22,0.89,55
40,223.6396,18.6078,0.058,14.53,1.11,81
41,117.0449,18.552,0.047,14.4,1.01,59
42,244.4189,35.0411,0.031,14.6,1.19,107
44,229.6038,4.5283,0.037,14.38,1.0,61
45,184.4023,3.639,0.077,15.04,1.64,100
46,127.1567,30.4313,0.05,14.69,1.26,83
47,241.306,16.4602,0.044,15.15,1.8,232
48,14.0058,-10.0165,0.055,14.5,1.09,72
49,176.8442,55.7178,0.051,14.66,1.24,83
50,214.3435,2.0353,0.054,14.5,1.09,69
51,214.4332,8.196,0.057,14.43,1.04,69
52,176.3217,33.3532,0.032,14.1,0.81,67
53,208.2782,5.1703,0.079,14.68,1.24,70
54,203.9791,59.2357,0.071,14.86,1.43,108
57,180.0944,56.2254,0.064,14.62,1.2,69
58,226.1477,28.4716,0.058,14.45,1.05,62
61,173.2294,14.4326,0.081,14.83,1.4,61
62,195.6601,-2.5423,0.083,14.62,1.18,57
64,146.571,43.1473,0.073,14.12,0.81,24
65,230.4156,7.7193,0.045,14.57,1.15,74
66,197.7928,39.2503,0.072,14.79,1.36,55
68,205.4739,26.3809,0.075,14.46,1.05,39
69,146.7111,54.4917,0.047,14.45,1.06,66
70,167.1201,44.0939,0.059,14.38,1.0,66
71,200.0644,33.1644,0.036,14.41,1.02,57
73,245.6562,37.9252,0.031,14.53,1.13,75
74,208.0007,46.3667,0.063,14.39,1.0,53
77,177.0543,54.6677,0.06,14.26,0.9,54
79,170.4099,2.8163,0.049,14.3,0.94,49
80,228.803,4.3649,0.097,14.68,1.24,43
82,168.8992,54.5174,0.07,14.57,1.14,57
83,227.9499,4.502,0.036,14.4,1.02,54
85,196.0038,19.2772,0.064,14.6,1.17,54
86,116.5758,18.3162,0.052,14.26,0.91,49
87,174.0717,55.0578,0.057,14.02,0.75,44
88,233.1359,4.7342,0.038,14.04,0.77,38
89,170.7403,1.0701,0.074,14.3,0.93,38
90,122.4772,35.1596,0.083,14.67,1.23,41
93,186.5582,31.1117,0.06,13.92,0.7,26
94,179.2471,5.0477,0.075,14.59,1.16,53
95,187.4236,11.7516,0.086,14.88,1.45,74
96,231.0865,20.7606,0.04,14.16,0.84,47
97,140.0518,54.8904,0.045,14.12,0.82,34
98,155.392,23.9116,0.039,14.16,0.84,51
99,158.3152,56.7684,0.045,14.07,0.78,47
100,183.6602,59.9266,0.06,14.22,0.88,47
101,51.3858,-0.58,0.037,13.81,0.64,22
102,165.2002,10.4066,0.036,14.65,1.23,65
103,157.94,40.1824,0.067,14.14,0.82,38
104,236.2194,36.1064,0.066,14.7,1.27,67
105,7.3223,-0.2126,0.06,14.2,0.87,33
106,172.3877,54.1117,0.069,14.41,1.02,51
107,212.5518,54.9166,0.042,13.91,0.69,33
108,252.6651,23.5084,0.036,13.93,0.71,37
110,18.2482,15.4844,0.043,14.25,0.9,52
111,184.6299,5.214,0.077,14.6,1.17,42
112,238.8791,41.6157,0.034,14.2,0.87,38
114,176.4182,15.5056,0.068,14.27,0.91,37
115,246.7696,14.1874,0.051,13.89,0.69,27
116,168.7743,25.8728,0.048,13.97,0.73,43
118,152.5112,54.435,0.046,14.32,0.95,60
119,238.1031,27.7115,0.082,13.99,0.73,20
120,170.5107,34.3465,0.035,13.59,0.54,34
121,194.6833,-1.7481,0.084,14.7,1.26,48
122,216.0279,26.2658,0.038,13.82,0.65,32
125,24.3436,-9.193,0.041,14.18,0.86,54
126,199.8197,-0.9386,0.083,14.62,1.19,37
127,17.4503,14.1071,0.06,14.54,1.12,51
128,240.3577,53.9616,0.065,13.98,0.73,24
129,175.3044,5.7204,0.097,14.27,0.9,23
130,255.6457,33.5499,0.086,15.02,1.61,80
132,207.3671,28.0318,0.076,14.59,1.16,43
135,207.9144,9.4982,0.065,14.51,1.09,43
136,222.1278,11.2865,0.052,14.37,0.99,49
137,150.6702,32.7208,0.051,14.09,0.8,46
140,155.4981,38.5215,0.054,14.54,1.13,63
141,245.2292,29.8382,0.097,14.6,1.16,35
142,248.0229,13.6468,0.053,14.18,0.85,44
143,192.2485,-1.7069,0.087,14.97,1.55,65
144,134.9522,39.3855,0.095,14.26,0.89,34
147,228.0394,1.8068,0.039,14.09,0.8,21
148,257.4347,34.4547,0.085,15.03,1.63,76
149,196.4868,9.4838,0.055,14.04,0.77,27
151,248.8257,26.6174,0.07,13.81,0.64,21
153,239.6032,18.0424,0.046,14.38,1.0,52
154,161.7944,38.964,0.036,14.25,0.91,33
156,156.2606,17.135,0.045,13.8,0.64,22
157,232.311,52.8639,0.073,14.27,0.91,34
158,163.5235,54.8282,0.072,14.39,1.0,42
159,223.5304,54.2627,0.099,14.17,0.83,29
160,230.8448,31.0494,0.074,14.44,1.03,33
164,170.6277,34.0755,0.043,13.87,0.68,36
166,138.221,47.728,0.051,14.14,0.83,32
168,205.9135,55.6228,0.068,13.93,0.7,34
170,232.3015,7.5732,0.043,14.03,0.76,29
171,173.7788,21.1512,0.064,13.85,0.66,22
172,10.7605,15.2429,0.079,14.34,0.96,32
173,27.301,14.0424,0.07,13.88,0.68,22
174,134.5701,38.528,0.093,14.23,0.88,32
175,151.0412,54.6353,0.047,14.39,1.0,43
176,227.7767,5.2948,0.08,14.76,1.32,37
179,248.3581,11.834,0.052,14.23,0.89,37
180,260.6725,30.8284,0.046,14.26,0.91,39
181,227.4433,8.8004,0.08,14.47,1.06,29
182,233.3925,31.0837,0.067,14.25,0.89,30
183,30.565,-1.0403,0.042,14.04,0.77,28
184,117.3782,52.097,0.069,14.37,0.98,41
186,203.1493,32.5997,0.036,14.05,0.78,40
187,188.8342,1.831,0.08,14.23,0.88,23
188,59.362,-5.3835,0.066,13.87,0.67,20
189,182.5888,5.3469,0.077,14.61,1.18,47
190,254.1129,39.2791,0.062,14.07,0.78,31
192,218.3383,52.8728,0.045,14.05,0.78,36
193,156.7968,11.016,0.032,13.37,0.46,27
194,239.1577,25.8093,0.072,14.31,0.94,22
196,206.1913,29.7351,0.062,14.09,0.8,30
198,136.9208,52.0922,0.061,14.12,0.81,36
199,122.6209,42.2998,0.064,14.17,0.85,31
201,129.816,28.7763,0.08,14.43,1.03,30
203,186.8957,8.8389,0.089,14.87,1.44,68
204,229.9829,25.7578,0.033,14.06,0.78,36
205,225.5257,21.2966,0.062,14.33,0.96,31
206,135.5553,20.6192,0.082,14.29,0.92,29
207,240.8769,14.7888,0.036,14.25,0.9,49
208,168.1048,57.0575,0.047,14.09,0.8,33
209,209.9132,28.539,0.063,14.17,0.85,29
210,234.9841,17.8575,0.09,14.65,1.21,41
212,162.9201,55.339,0.074,13.91,0.69,29
213,180.7591,54.7744,0.05,14.06,0.78,31
216,243.2548,30.9166,0.05,14.51,1.1,43
221,183.2659,59.2576,0.096,13.85,0.65,21
222,242.8492,36.995,0.067,14.1,0.8,23
223,206.6898,45.715,0.065,13.97,0.72,28
224,133.5641,29.0514,0.084,14.58,1.15,33
228,227.8607,-0.1083,0.091,14.22,0.87,25
230,128.9867,38.5113,0.057,14.07,0.79,31
231,191.7995,55.0208,0.083,14.42,1.02,25
232,230.2374,48.6807,0.074,14.53,1.11,34
233,167.9791,39.6287,0.076,14.17,0.84,22
234,41.6991,-0.5708,0.043,13.49,0.5,21
235,233.8795,25.225,0.034,13.53,0.52,23
236,205.5982,29.826,0.044,14.26,0.91,35
238,120.9997,10.0498,0.034,13.64,0.57,24
239,119.145,45.7419,0.052,14.2,0.87,29
240,191.2993,1.7884,0.048,13.85,0.66,25
241,354.4769,15.8294,0.067,14.2,0.87,29
242,136.9767,49.6365,0.035,13.94,0.71,31
243,162.4875,0.3461,0.039,13.94,0.71,26
245,130.6866,36.0876,0.054,14.18,0.85,30
246,132.1697,9.054,0.064,14.13,0.82,27
247,198.4603,38.9207,0.07,14.36,0.98,31
250,189.7137,17.1924,0.071,13.92,0.7,20
253,173.0947,56.2955,0.05,14.15,0.84,32
254,212.1701,55.5179,0.074,14.27,0.91,25
255,233.2867,27.9916,0.073,14.46,1.05,32
256,236.8236,27.9889,0.076,14.21,0.87,23
258,247.6049,24.5827,0.064,14.2,0.86,32
259,155.8174,12.9092,0.032,13.81,0.65,25
260,173.9414,13.6814,0.08,14.48,1.06,31
263,207.0932,25.678,0.052,14.1,0.8,28
265,209.1915,23.131,0.063,14.36,0.98,38
267,195.3458,-3.4901,0.085,14.21,0.86,21
268,177.532,5.678,0.075,14.2,0.86,21
269,192.9966,4.5747,0.065,13.87,0.67,26
272,177.434,12.3262,0.083,14.15,0.83,25
275,244.7847,24.2078,0.066,14.07,0.78,24
276,233.8128,27.3153,0.032,14.1,0.81,30
278,209.6037,32.6541,0.049,14.0,0.74,35
279,219.3622,24.8378,0.088,14.2,0.86,21
280,19.7378,-1.0177,0.045,14.1,0.81,24
281,126.6305,17.4708,0.089,13.93,0.7,21
282,212.7563,19.1441,0.056,13.94,0.71,25
283,222.1024,18.336,0.04,14.16,0.84,37
287,190.5543,-2.115,0.083,14.21,0.87,25
289,217.4548,53.9933,0.043,13.77,0.63,24
290,197.158,43.5216,0.036,13.99,0.74,30
292,161.1207,14.1048,0.033,13.98,0.73,29
294,167.4929,21.8103,0.032,13.76,0.62,24
295,131.8533,53.8186,0.045,14.12,0.82,30
297,211.5987,6.2928,0.085,14.3,0.93,23
298,156.2628,47.8127,0.063,14.27,0.92,31
300,186.2859,61.4903,0.07,13.83,0.65,23
301,172.4102,55.4223,0.068,14.07,0.78,23
302,158.0672,40.284,0.078,14.25,0.89,26
303,236.0939,34.6402,0.07,14.44,1.04,22
304,185.5021,13.7596,0.081,14.42,1.02,24
305,217.4873,7.2445,0.054,14.19,0.86,22
306,230.1077,33.4153,0.082,14.2,0.86,23
308,235.7148,8.2405,0.041,13.99,0.74,25
309,230.748,28.596,0.084,14.35,0.96,22
310,160.312,33.8973,0.083,14.11,0.8,24
311,242.9673,20.9786,0.086,14.35,0.97,24
313,137.1075,16.031,0.072,14.3,0.93,31
314,168.4237,2.499,0.074,14.05,0.77,30
316,157.119,3.7424,0.073,14.28,0.92,26
319,246.9982,42.6871,0.032,13.86,0.67,26
322,159.2213,50.1229,0.045,14.15,0.83,32
327,225.8592,7.998,0.089,14.62,1.19,32
328,253.59,23.5416,0.057,14.14,0.82,31
330,216.1921,29.5507,0.054,13.98,0.73,25
331,118.5921,14.6519,0.05,13.91,0.69,28
333,187.769,28.8527,0.062,14.06,0.78,26
336,217.1839,17.4129,0.052,14.07,0.78,26
338,155.6189,15.7453,0.045,13.87,0.67,23
340,213.6193,1.7645,0.054,13.99,0.74,25
341,157.5611,4.0191,0.067,13.76,0.62,22
342,122.1481,38.9195,0.041,13.75,0.62,27
349,175.791,26.4327,0.031,13.78,0.63,21
351,193.6675,18.985,0.064,14.02,0.75,25
354,244.7571,50.4838,0.056,14.35,0.97,24
355,189.0735,16.547,0.069,14.56,1.14,34
358,205.5057,2.1496,0.077,14.72,1.29,53
368,131.6204,29.6226,0.071,14.24,0.89,20
371,181.3786,43.1855,0.053,14.12,0.82,24
373,226.1811,35.9573,0.048,14.06,0.78,25
374,245.7299,23.8919,0.063,14.1,0.8,31
375,145.1331,66.6577,0.07,14.33,0.96,20
377,203.9595,35.9609,0.059,14.22,0.88,27
381,249.2461,44.3289,0.031,13.8,0.64,21
388,122.7397,35.9724,0.082,14.48,1.06,31
389,224.5938,47.4751,0.086,14.45,1.04,26
390,231.4995,48.4927,0.037,13.51,0.51,21
394,199.144,7.0911,0.049,14.11,0.81,25
396,232.9112,7.3305,0.034,13.73,0.61,20
397,201.2498,8.3651,0.052,13.82,0.65,21
408,189.8714,16.5063,0.07,14.32,0.95,24
409,192.5124,-1.5625,0.082,14.84,1.4,50
412,116.4103,33.9561,0.062,14.29,0.93,29
413,255.6881,33.4648,0.092,15.71,2.73,174
414,117.4209,29.4346,0.063,14.24,0.89,25
416,174.8016,55.6594,0.062,14.29,0.92,26
418,181.9639,14.9781,0.079,14.5,1.09,34
420,242.9955,29.8385,0.05,14.71,1.29,45
423,195.2958,39.831,0.036,13.99,0.74,24
424,164.3707,37.6233,0.035,13.68,0.58,21
427,186.3138,32.15,0.059,14.35,0.97,38
432,168.2233,2.5009,0.078,15.11,1.73,66
434,243.3893,49.082,0.056,14.33,0.95,47
435,197.2963,-1.6222,0.083,14.54,1.11,23
436,126.5674,40.9862,0.057,14.02,0.75,21
439,229.745,4.3358,0.047,14.06,0.78,24
440,215.4074,49.507,0.072,14.51,1.1,24
441,229.9992,32.8171,0.08,14.1,0.8,23
445,171.6007,35.3344,0.034,13.82,0.65,20
447,250.3106,13.3536,0.051,13.96,0.72,25
452,331.7979,-7.531,0.061,14.17,0.85,28
458,145.9013,39.3971,0.041,14.01,0.75,26
460,131.225,27.719,0.084,14.12,0.81,20
467,237.3127,25.6057,0.071,14.12,0.81,22
471,229.4987,26.878,0.085,14.67,1.23,31
480,167.764,1.1049,0.097,13.92,0.69,21
496,227.3806,7.5358,0.077,14.59,1.16,32
501,202.3909,37.4487,0.057,13.82,0.65,20
503,197.6967,34.4158,0.037,14.32,0.95,27
509,139.8781,55.5739,0.048,14.0,0.74,23
511,237.7877,53.4282,0.065,13.71,0.59,22
513,250.3571,40.1635,0.032,14.46,1.07,32
526,237.2284,8.8457,0.072,14.67,1.24,30
529,243.8981,19.4815,0.031,13.7,0.6,20
530,207.1275,32.2499,0.083,14.24,0.89,21
532,179.4821,33.7051,0.08,14.3,0.93,21
540,227.1193,-0.258,0.09,14.65,1.21,37
542,243.6301,49.1877,0.059,14.3,0.93,46
554,132.532,32.7757,0.066,13.9,0.69,20
557,167.3308,41.5666,0.077,14.25,0.9,25
559,218.2858,9.6789,0.086,14.23,0.88,20
562,340.833,0.4133,0.058,13.97,0.73,20
564,194.921,38.8014,0.034,13.35,0.45,22
567,226.2659,26.0287,0.054,14.04,0.77,26
574,166.8872,15.8625,0.093,14.6,1.17,29
577,140.9969,13.1923,0.08,14.4,1.0,22
586,349.7253,-10.2361,0.032,13.78,0.63,21
595,188.715,50.7791,0.04,13.85,0.66,22
599,215.9747,40.2588,0.082,14.35,0.96,21
608,4.1949,-0.4609,0.065,14.26,0.91,21
616,172.1451,26.8291,0.053,14.15,0.84,28
621,215.2345,17.666,0.051,14.21,0.87,35
624,129.0212,52.7156,0.044,14.16,0.85,20
625,242.3892,53.0522,0.063,14.3,0.93,22
628,325.7397,-6.8996,0.054,14.34,0.96,40
630,167.5969,4.8471,0.03,13.7,0.6,21
631,119.635,37.7935,0.041,13.89,0.69,28
635,203.2348,60.119,0.072,14.54,1.12,30
664,208.4432,33.1695,0.05,14.26,0.91,29
665,205.9073,30.0654,0.04,15.0,1.61,83
